name,birth_year,birth_date,birthplace,race_ethnicity,religion,sexual_orientation,year_edition,category,movie,age_at_win
Shirley Booth,1898.0,1898-08-30,New York City,White,Unknown,Straight,1953.0,Best Actress,"Come Back, Little Sheba",55.0
Leo McCarey,1898.0,1898-10-03,"Los Angeles, Ca",White,Unknown,Straight,1938.0,Best Director,The Awful Truth,40.0
Leo McCarey,1898.0,1898-10-03,"Los Angeles, Ca",White,Unknown,Straight,1945.0,Best Director,Going My Way,47.0
George Cukor,1899.0,1899-07-07,New York City,White,Unknown,Gay,1965.0,Best Director,My Fair Lady,66.0
Gale Sondergaard,1899.0,1899-02-15,"Litchfield, Mn",White,Unknown,Straight,1937.0,Best Supporting Actress,Anthony Adverse,38.0
Humphrey Bogart,1899.0,1899-12-25,New York City,White,Unknown,Straight,1952.0,Best Actor,The Africa Queen,53.0
Norman Taurog,1899.0,1899-02-23,"Chicago, Il",White,Unknown,Straight,1932.0,Best Director,Skippy,33.0
Charles Laughton,1899.0,1899-07-01,"Victoria Hotel, Scarborough, Yorkshire, England",White,Roman Catholic,Gay,1934.0,Best Actor,The Private Life of Henry VIII,35.0
James Cagney,1899.0,1899-07-17,"Manhattan, Ny",White,Roman Catholic,Straight,1943.0,Best Actor,Yankee Doodle Dandy,44.0
Katina Paxinou,1900.0,1900-12-17,"Athens, Greece",White,Unknown,Straight,1944.0,Best Supporting Actress,For Whom the Bell Tolls,44.0
Helen Hayes,1900.0,1900-10-10,"Washington, Dc",White,Unknown,Straight,1932.0,Best Actress,The Sin of Madelon Claudet,32.0
Helen Hayes,1900.0,1900-10-10,"Washington, Dc",White,Unknown,Straight,1971.0,Best Supporting Actress,Airport,71.0
Spencer Tracy,1900.0,1900-04-05,"Milwaukee, Wi",White,Roman Catholic,Straight,1938.0,Best Actor,Captains Courageous,38.0
Spencer Tracy,1900.0,1900-04-05,"Milwaukee, Wi",White,Roman Catholic,Straight,1939.0,Best Actor,Boys Town,39.0
Clark Gable,1901.0,1901-02-01,"Cadiz, Oh",White,Unknown,Straight,1935.0,Best Actor,It Happened One Night,34.0
James Dunn,1901.0,1901-11-02,New York City,White,Unknown,Straight,1946.0,Best Supporting Actor,A Tree Grows in Brooklyn,45.0
"Ed Begley, Sr.",1901.0,1901-03-25,"Hartford, Ct",White,Unknown,Straight,1963.0,Best Supporting Actor,Sweet Bird of Youth,62.0
Gary Cooper,1901.0,1901-05-07,"Helena, Mt",White,Roman Catholic,Straight,1953.0,Best Actor,High Noon,52.0
