name,birth_year,birth_date,birthplace,race_ethnicity,religion,sexual_orientation,year_edition,category,movie,age_at_win
Jack Lemmon,1925.0,1925-02-08,"Newton, Ma",White,Roman Catholic,Straight,1974.0,Best Actor,Save the Tiger,49.0
Jack Lemmon,1925.0,1925-02-08,"Newton, Ma",White,Roman Catholic,Straight,1956.0,Best Supporting Actor,Mister Roberts,31.0
Cloris Leachman,1926.0,1926-04-30,"Des Moines, Ia",White,Unknown,Straight,1972.0,Best Supporting Actress,The Last Picture Show,46.0
Patricia Neal,1926.0,1926-01-20,"Packard, Ky",White,Roman Catholic,Straight,1964.0,Best Actress,Hud,38.0
John Schlesinger,1926.0,1926-02-16,"London, England",White,Unknown,Gay,1969.0,Best Director,Midnight Cowboy,43.0
Estelle Parsons,1927.0,1927-11-20,"Marblehead, Ma",White,Unknown,Straight,1968.0,Best Supporting Actress,Bonnie and Clyde,41.0
Sidney Poitier,1927.0,1927-02-20,"Miami, Fl",Black,Deist,Straight,1964.0,Best Actor,Lilies of the Field,37.0
Bob Fosse,1927.0,1927-06-23,"Chicago, Il",White,Unknown,Straight,1973.0,Best Director,Cabaret,46.0
Lee Grant,1927.0,1927-10-31,New York City,White,Jewish,Straight,1976.0,Best Supporting Actress,Shampoo,49.0
George C. Scott,1927.0,1927-10-18,"Wise, Va",White,Unknown,Straight,1971.0,Best Actor,Patton,44.0
James Coburn,1928.0,1928-08-31,"Laurel, Ne",White,Unknown,Straight,1999.0,Best Supporting Actor,Affliction,71.0
Tony Richardson,1928.0,1928-06-05,"Shipley, Yorkshire, England",White,Unknown,Bisexual,1964.0,Best Director,Tom Jones,36.0
Grace Kelly,1929.0,1929-11-12,"Philadelphia, Pa",White,Roman Catholic,Straight,1955.0,Best Actress,The Country Girl,26.0
Audrey Hepburn,1929.0,1929-05-04,"Brussels, Belgium",White,Christian Science,Straight,1954.0,Best Actress,Roman Holiday,25.0
Miyoshi Umeki,1929.0,1929-04-03,"Otaro, Hokkaido, Japan",Asian,Unknown,Straight,1958.0,Best Supporting Actress,Sayonara,29.0
Christopher Plummer,1929.0,1929-12-13,"Toronto, Ontario, Canada",White,Unknown,Straight,2012.0,Best Supporting Actor,Beginning,83.0
Sean Connery,1930.0,1930-08-25,"Edinburgh, Scotland",White,Roman Catholic,Straight,1988.0,Best Supporting Actor,The Untouchables,58.0
Maximilian Schell,1930.0,1930-12-08,"Vienna, Austria",White,Unknown,Straight,1962.0,Best Actor,Judgement at Nuremberg,32.0
Joanne Woodward,1930.0,1930-02-27,"Thomasville, Ga",White,Unknown,Straight,1958.0,Best Actress,The Three Faces of Eve,28.0
Gene Hackman,1930.0,1930-01-30,"San Bernardino, Ca",White,Unknown,Straight,1972.0,Best Actor,The French Connection,42.0
Gene Hackman,1930.0,1930-01-30,"San Bernardino, Ca",White,Unknown,Straight,1993.0,Best Supporting Actor,Unforgiven,63.0
Clint Eastwood,1930.0,1930-05-31,"San Francisco, Ca",White,Unknown,Straight,2005.0,Best Director,Million Dollar Baby,75.0
Clint Eastwood,1930.0,1930-05-31,"San Francisco, Ca",White,Unknown,Straight,1993.0,Best Director,Unforgiven,63.0
Mike Nichols,1931.0,1931-11-06,"Berlin, Germany",White,Jewish,Straight,1968.0,Best Director,The Graduate,37.0
Olympia Dukakis,1931.0,1931-06-20,"Lowell, Ma",White,Unknown,Straight,1988.0,Best Supporting Actress,Moonstruck,57.0
Anne Bancroft,1931.0,1931-09-17,"Bronx, Ny",White,Roman Catholic,Straight,1963.0,Best Actress,The Miracle Worker,32.0
Robert Duvall,1931.0,1931-01-05,"San Diego, Ca",White,Unknown,Straight,1984.0,Best Actor,Tender Mercies,53.0
Rita Moreno,1931.0,1931-12-11,"Humacao, Puerto Rico",Hispanic,Unknown,Straight,1962.0,Best Supporting Actress,West Side Story,31.0
Martin Landau,1931.0,1931-06-20,"Brooklyn, Ny",White,Jewish,Straight,1995.0,Best Supporting Actor,Ed Wood,64.0
Ellen Burstyn,1932.0,1932-12-07,"Detroit, Mi",White,Sufism,Straight,1975.0,Best Actress,Alice Doesn't Live Here Anymore,43.0
Robert Benton,1932.0,1932-09-29,"Waxahachie, Tx",White,Unknown,Straight,1980.0,Best Director,Kramer vs. Kramer,48.0
Joel Grey,1932.0,1932-04-11,"Cleveland, Oh",White,Jewish,Gay,1973.0,Best Supporting Actor,Cabaret,41.0
Milos Forman,1932.0,1932-02-18,"CÌÁslav, Czechoslovakia",White,Unknown,Straight,1976.0,Best Director,One Flew over the Cuckoo's Nest,44.0
Milos Forman,1932.0,1932-02-18,"CÌÁslav, Czechoslovakia",White,Unknown,Straight,1985.0,Best Director,Amadeus,53.0
Elizabeth Taylor,1932.0,1932-02-27,"London, England",White,Jewish,Straight,1961.0,Best Actress,Butterfield 8,29.0
Elizabeth Taylor,1932.0,1932-02-27,"London, England",White,Jewish,Straight,1967.0,Best Actress,Who's Afraid of Virginia Woolf?,35.0
Roman Polanski,1933.0,1933-08-18,"Paris, France",White,See Note,Straight,2003.0,Best Director,The Pianist,70.0
Michael Caine,1933.0,1933-03-14,"Bermondsey, England",White,Unknown,Straight,2000.0,Best Supporting Actor,The Cider House Rules,67.0
Michael Caine,1933.0,1933-03-14,"Bermondsey, England",White,Unknown,Straight,1987.0,Best Supporting Actor,Hannah and Her Sisters,54.0
Sydney Pollack,1934.0,1934-07-01,"Lafayette, In",White,Jewish,Straight,1986.0,Best Director,Out of Africa,52.0
Sophia Loren,1934.0,1934-09-20,"Pozzuoli, Italy",White,Roman Catholic,Straight,1962.0,Best Actress,Two Women,28.0
Alan Arkin,1934.0,1934-03-26,"Brooklyn, Ny",White,Jewish,Straight,2007.0,Best Supporting Actor,Little Miss Sunshine,73.0
Shirley Jones,1934.0,1934-03-31,"Charleroi, Pa",White,Methodist,Straight,1961.0,Best Supporting Actress,Elmer Gantry,27.0
Louise Fletcher,1934.0,1934-07-22,"Birmingham, Al",White,Unknown,Straight,1976.0,Best Actress,One Flew Over the Cuckoo's Nest,42.0
Judi Dench,1934.0,1934-12-09,"York, North Yorkshire, England",White,Quaker,Straight,1999.0,Best Supporting Actress,Shakespeare in Love,65.0
George Chakiris,1934.0,1934-09-16,"Norwood, Oh",White,Unknown,Gay,1962.0,Best Supporting Actor,West Side Story,28.0
Shirley MacLaine,1934.0,1934-04-24,"Richmond, Va",White,Baptist,Straight,1984.0,Best Actress,Terms of Endearment,50.0
Maggie Smith,1934.0,1934-12-28,"Ilford, Essex, England",White,Unknown,Straight,1979.0,Best Supporting Actress,California Suite,45.0
Maggie Smith,1934.0,1934-12-28,"Ilford, Essex, England",White,Unknown,Straight,1970.0,Best Actress,The Prime of Miss Jean Brodie,36.0
William Friedkin,1935.0,1935-08-29,"Chicago, Il",White,Jewish,Straight,1972.0,Best Director,The French Connection,37.0
John G. Avildsen,1935.0,1935-12-21,"Oak Park, Il",White,Unknown,Straight,1976.0,Best Director,Rocky,41.0
Woody Allen,1935.0,1935-12-01,"Brooklyn, Ny",White,Jewish,Straight,1978.0,Best Director,Annie Hall,43.0
Julie Andrews,1935.0,1935-10-01,"Walton-on-Thames, Surrey, England",White,Unknown,Straight,1965.0,Best Actress,Mary Poppins,30.0
Robert Redford,1936.0,1936-08-18,"Santa Monica, Ca",White,Unknown,Straight,1980.0,Best Director,Ordinary People,44.0
"Lou Gossett, Jr.",1936.0,1936-05-27,"Brooklyn, Ny",Black,Unknown,Straight,1983.0,Best Supporting Actor,An Officer and a Gentleman,47.0
Glenda Jackson,1936.0,1936-05-09,"Birkenhead, Cheshire, England",White,Unknown,Straight,1971.0,Best Actress,Women in Love,35.0
Glenda Jackson,1936.0,1936-05-09,"Birkenhead, Cheshire, England",White,Unknown,Straight,1974.0,Best Actress,A Touch of Class,38.0
Anthony Hopkins,1937.0,1937-12-31,"Port Talbot, Wales",White,Unknown,Straight,1992.0,Best Actor,Silence of the Lambs,55.0
Vanessa Redgrave,1937.0,1937-01-30,"London, England",White,Unknown,Straight,1978.0,Best Supporting Actress,Julia,41.0
Morgan Freeman,1937.0,1937-06-01,"Memphis, Tn",Black,Unknown,Straight,2005.0,Best Supporting Actor,Million Dollar Baby,68.0
Sandy Dennis,1937.0,1937-04-27,"Hastings, Ne",White,Unknown,Bisexual,1967.0,Best Supporting Actress,Who's Afraid of Virginia Woolf?,30.0
Warren Beatty,1937.0,1937-03-30,"Richmond, Va",White,Baptist,Straight,1981.0,Best Director,Reds,44.0
Jane Fonda,1937.0,1937-12-21,New York City,White,Born-Again Christian,Straight,1979.0,Best Actress,Coming Home,42.0
Jane Fonda,1937.0,1937-12-21,New York City,White,Born-Again Christian,Straight,1972.0,Best Actress,Klute,35.0
Dustin Hoffman,1937.0,1937-08-08,"Los Angeles, Ca",White,Jewish,Straight,1989.0,Best Actor,Rainman,52.0
Dustin Hoffman,1937.0,1937-08-08,"Los Angeles, Ca",White,Jewish,Straight,1980.0,Best Actor,Kramer vs. Kramer,43.0
Jack Nicholson,1937.0,1937-04-22,New York City,White,Atheist,Straight,1997.0,Best Actor,As Good as It Gets,60.0
Jack Nicholson,1937.0,1937-04-22,New York City,White,Atheist,Straight,1976.0,Best Actor,One Flew Over the Cuckoo's Nest,39.0
Jack Nicholson,1937.0,1937-04-22,New York City,White,Atheist,Straight,1984.0,Best Supporting Actor,Terms of Endearment,47.0
Jon Voight,1938.0,1938-12-29,"Yonkers, Ny",White,Roman Catholic,Straight,1979.0,Best Actor,Coming Home,41.0
Francis Ford Coppola,1939.0,1939-04-07,"Detroit, Mi",White,Unknown,Straight,1975.0,Best Director,The Godfather Part II,36.0
Michael Cimino,1939.0,1939-02-03,New York City,White,Unknown,Straight,1979.0,Best Director,The Deer Hunter,40.0
F. Murray Abraham,1939.0,1939-10-24,"Pittsburgh, Pa",Middle Eastern,Unknown,Straight,1985.0,Best Actor,Amadeus,46.0
Al Pacino,1940.0,1940-04-25,"East Harlem, New York City",White,Roman Catholic,Straight,1993.0,Best Actor,Scent of a Woman,53.0
James L. Brooks,1940.0,1940-05-09,"North Bergen, Nj",White,Unknown,Straight,1983.0,Best Director,Terms of Endearment,43.0
Haing S. Ngor,1940.0,1940-03-22,"Samrong Young, Cambodia",Asian,Buddhist,Straight,1985.0,Best Supporting Actor,The Killing Fields,45.0
Bernardo Bertolucci,1941.0,1941-03-16,"Parma, Emilia-Romagna, Italy",White,Unknown,Straight,1988.0,Best Director,The Last Emperor,47.0
Julie Christie,1941.0,1941-04-14,"Chabua, Assam, India",White,Unknown,Straight,1966.0,Best Actress,Darling,25.0
Faye Dunaway,1941.0,1941-01-14,"Bascom, Fl",White,Roman Catholic,Straight,1977.0,Best Actress,Network,36.0
Barbra Streisand,1942.0,1942-04-24,"Brooklyn, Ny",White,Jewish,Straight,1969.0,Best Actress,Funny Girl,27.0
Martin Scorsese,1942.0,1942-11-17,"Flushing, Ny",White,Roman Catholic,Straight,2007.0,Best Director,The Departed,65.0
Barry Levinson,1942.0,1942-04-06,"Baltimore, Md",White,Jewish,Straight,1989.0,Best Director,Rain Man,47.0
Ben Kingsley,1943.0,1943-12-31,"Scarborough, Yorkshire, England",Multiracial,Quaker,Straight,1983.0,Best Actor,Gandhi,40.0
Joe Pesci,1943.0,1943-02-09,"Newark, Nj",White,Unknown,Straight,1991.0,Best Supporting Actor,Good Fellas,48.0
Christopher Walken,1943.0,1943-03-31,"Astoria, Ny",White,Unknown,Straight,1979.0,Best Supporting Actor,The Deer Hunter,36.0
Robert De Niro,1943.0,1943-08-17,New York City,White,Roman Catholic,Straight,1975.0,Best Supporting Actor,The Godfather Part II,32.0
Robert De Niro,1943.0,1943-08-17,New York City,White,Roman Catholic,Straight,1981.0,Best Actor,Raging Bull,38.0
Jonathan Demme,1944.0,1944-02-22,"Baldwin, Ny",White,Unknown,Straight,1992.0,Best Director,The Silence of the Lambs,48.0
Michael Douglas,1944.0,1944-09-25,"New Brunswick, Nj",White,Jewish,Straight,1988.0,Best Actor,Wall Street,44.0
Helen Mirren,1945.0,1945-07-26,"Chiswick, London, England",White,Unknown,Straight,2007.0,Best Actress,The Queen,62.0
Brenda Fricker,1945.0,1945-02-17,"Dublin, Ireland",White,Unknown,Straight,1990.0,Best Supporting Actress,My Left Foot,45.0
Goldie Hawn,1945.0,1945-11-21,"Silver Spring, Md",White,Buddhist,Straight,1970.0,Best Supporting Actress,Cactus Flower,25.0
Linda Hunt,1945.0,1945-04-02,"Morristown, Nj",White,Unknown,Unknown,1984.0,Best Supporting Actress,The Year of Living Dangerously,39.0
Tommy Lee Jones,1946.0,1946-09-15,"San Saba, Tx",White,Unknown,Straight,1994.0,Best Supporting Actor,The Fugitive,48.0
Susan Sarandon,1946.0,1946-10-04,"Queens, Ny",White,Roman Catholic,Straight,1996.0,Best Actress,Dead Man Walking,50.0
Patty Duke,1946.0,1946-12-14,"Elmhurst, Ny",White,Roman Catholic,Straight,1963.0,Best Supporting Actress,The Miracle Worker,17.0
Oliver Stone,1946.0,1946-09-15,New York City,White,Atheist,Straight,1990.0,Best Director,Born on the Fourth of July,44.0
Diane Keaton,1946.0,1946-01-05,"Los Angeles, Ca",White,Atheist,Straight,1978.0,Best Actress,Annie Hall,32.0
Cher,1946.0,1946-05-20,"El Centro, Ca",White,Unknown,Bisexual,1988.0,Best Actress,Moonstruck,42.0
Liza Minnelli,1946.0,1946-03-12,"Los Angeles, Ca",White,Unknown,Unknown,1973.0,Best Actress,Cabaret,27.0
Sally Field,1946.0,1946-11-06,"Pasadena, Ca",White,Unknown,Straight,1980.0,Best Actress,Norma Rae,34.0
Sally Field,1946.0,1946-11-06,"Pasadena, Ca",White,Unknown,Straight,1985.0,Best Actress,Places in the Heart,39.0
Steven Spielberg,1946.0,1946-12-18,"Cincinnati, Oh",White,Jewish,Straight,1999.0,Best Director,Saving Private Ryan,53.0
Steven Spielberg,1946.0,1946-12-18,"Cincinnati, Oh",White,Jewish,Straight,1994.0,Best Director,Schindler's List,48.0
Kevin Kline,1947.0,1947-10-24,"St. Louis, Mo",White,Roman Catholic,Straight,1989.0,Best Supporting Actor,A Fish Called Wanda,42.0
Richard Dreyfuss,1947.0,1947-10-29,"Brooklyn, Ny",White,Jewish,Straight,1978.0,Best Actor,The Goodbye Girl,31.0
Mercedes Ruehl,1948.0,1948-02-28,"Queens, Ny",Hispanic,Roman Catholic,Straight,1992.0,Best Supporting Actress,The Fisher King,44.0
Kathy Bates,1948.0,1948-06-28,"Memphis, Tn",White,Unknown,Straight,1991.0,Best Actress,Misery,43.0
Jeremy Irons,1948.0,1948-09-19,"Cowes, Isle of Wight, England",White,Unknown,Straight,1991.0,Best Actor,Reversal of Fortune,43.0
Dianne Wiest,1948.0,1948-03-28,"Kansas City, Mo",White,Unknown,Straight,1987.0,Best Supporting Actress,Hannah and Her Sisters,39.0
Dianne Wiest,1948.0,1948-03-28,"Kansas City, Mo",White,Unknown,Straight,1995.0,Best Supporting Actress,Bullets Over Broadway,47.0
Jeff Bridges,1949.0,1949-12-04,"Los Angeles, Ca",White,Lutheran,Straight,2010.0,Best Actor,Crazy Heart,61.0
Jim Broadbent,1949.0,1949-05-24,"Lincoln, Lincolnshire, England",White,Unknown,Straight,2002.0,Best Supporting Actor,Iris,53.0
Sissy Spacek,1949.0,1949-12-25,"Quitman, Tx",White,Unknown,Straight,1981.0,Best Actress,Coal Miner's Daughter,32.0
Meryl Streep,1949.0,1949-06-22,"Summit, Nj",White,Unknown,Straight,1983.0,Best Actress,Sophie's Choice,34.0
Meryl Streep,1949.0,1949-06-22,"Summit, Nj",White,Unknown,Straight,1980.0,Best Supporting Actress,Kramer vs. Kramer,31.0
Meryl Streep,1949.0,1949-06-22,"Summit, Nj",White,Unknown,Straight,2012.0,Best Actress,The Iron Lady,63.0
Jessica Lange,1949.0,1949-04-20,"Cloquet, Mn",White,Unknown,Straight,1983.0,Best Supporting Actress,Tootsie,34.0
Jessica Lange,1949.0,1949-04-20,"Cloquet, Mn",White,Unknown,Straight,1995.0,Best Actress,Blue Sky,46.0
William Hurt,1950.0,1950-03-20,"Washington, Dc",White,Lutheran,Straight,1986.0,Best Actor,Kiss of the Spider Woman,36.0
Robin Williams,1951.0,1951-07-21,"Chicago, Il",White,Anglican/episcopalian,Straight,1998.0,Best Supporting Actor,Good Will Hunting,47.0
Geoffrey Rush,1951.0,1951-07-06,"Toowoomba, Queensland, Australia",White,Unknown,Straight,1997.0,Best Actor,Shine,46.0
Anjelica Huston,1951.0,1951-07-08,"Santa Monica, Ca",White,Unknown,Straight,1986.0,Best Supporting Actress,Prizzi's Honor,35.0
Chris Cooper,1951.0,1951-07-09,"Kansas City, Mo",White,Unknown,Straight,2003.0,Best Supporting Actor,Adaptation,52.0
Kathryn Bigelow,1951.0,1951-11-27,"San Carlos, Ca",White,Unknown,Straight,2009.0,Best Director,The Hurt Locker,58.0
Robert Zemeckis,1952.0,1952-05-14,"Chicago, Il",White,Roman Catholic,Straight,1995.0,Best Director,Forrest Gump,43.0
Roberto Benigni,1952.0,1952-10-27,"Misericordia, Arezzo, Tuscany, Italy",White,Unknown,Straight,1999.0,Best Actor,Life is Beautiful,47.0
Mary Steenburgen,1953.0,1953-02-08,"Newport, Ar",White,Unknown,Straight,1981.0,Best Supporting Actress,Melvin and Howard,28.0
Kim Basinger,1953.0,1953-12-08,"Athens, Ga",White,Unknown,Straight,1998.0,Best Supporting Actress,L.A. Confidential,45.0
Ron Howard,1954.0,1954-03-01,"Duncan, Ok",White,Unknown,Straight,2002.0,Best Director,A Beautiful Mind,48.0
Anthony Minghella,1954.0,1954-01-06,"Ryde, Isle of Wight, England",White,Unknown,Straight,1997.0,Best Director,The English Patient,43.0
Joel Coen,1954.0,1954-11-29,"St. Louis Park, Mn",White,Jewish,Straight,2008.0,Best Director,No Country for Old Men,54.0
James Cameron,1954.0,1954-08-16,"Kapuskasing, Ontario, Canada",White,Atheist,Straight,1998.0,Best Director,Titanic,44.0
Ang Lee,1954.0,1954-10-23,"Pingtung, Taiwan",Asian,Unknown,Straight,2013.0,Best Director,Life of Pi,59.0
Ang Lee,1954.0,1954-10-23,"Pingtung, Taiwan",Asian,Unknown,Straight,2006.0,Best Director,Brokeback Mountain,52.0
Denzel Washington,1954.0,1954-12-28,"Mount Vernon, Ny",Black,Protestant,Straight,2002.0,Best Actor,Training Day,48.0
Denzel Washington,1954.0,1954-12-28,"Mount Vernon, Ny",Black,Protestant,Straight,1990.0,Best Supporting Actor,Glory,36.0
Whoopi Goldberg,1955.0,1955-11-13,New York City,Black,Atheist,Straight,1991.0,Best Supporting Actress,Ghost,36.0
Kevin Costner,1955.0,1955-01-18,"Lynwood, Ca",White,Baptist,Straight,1991.0,Best Director,Dances with Wolves,36.0
Geena Davis,1956.0,1956-01-21,"Wareham, Ma",White,Congregationalist,Straight,1989.0,Best Supporting Actress,The Accidental Tourist,33.0
Mel Gibson,1956.0,1956-01-03,"Peekskill, Ny",White,Roman Catholic,Straight,1996.0,Best Director,Braveheart,40.0
Danny Boyle,1956.0,1956-10-20,"Manchester, England",White,Roman Catholic,Straight,2009.0,Best Director,Slumdog Millionaire,53.0
Tom Hanks,1956.0,1956-07-09,"Concord, Ca",White,Born-Again Christian,Straight,1994.0,Best Actor,Philadelphia,38.0
Tom Hanks,1956.0,1956-07-09,"Concord, Ca",White,Born-Again Christian,Straight,1995.0,Best Actor,Forrest Gump,39.0
Christoph Waltz,1956.0,1956-10-04,Na,White,Unknown,Straight,2010.0,Best Supporting Actor,Inglourious Basterds,54.0
Christoph Waltz,1956.0,1956-10-04,Na,White,Unknown,Straight,2013.0,Best Supporting Actor,Django Unchained,57.0
Frances McDormand,1957.0,1957-06-23,"Chicago, Il",White,Disciples of Christ,Straight,1997.0,Best Actress,Fargo,40.0
Ethan Coen,1957.0,1957-09-21,"St. Louis Park, Mn",White,Jewish,Straight,2008.0,Best Director,No Country for Old Men,51.0
Daniel Day-Lewis,1957.0,1957-04-29,"London, England",White,Unknown,Straight,2013.0,Best Actor,Lincoln,56.0
Daniel Day-Lewis,1957.0,1957-04-29,"London, England",White,Unknown,Straight,2008.0,Best Actor,There Will Be Blood,51.0
Daniel Day-Lewis,1957.0,1957-04-29,"London, England",White,Unknown,Straight,1990.0,Best Actor,My Left Foot,33.0
Holly Hunter,1958.0,1958-03-20,"Conyers, Ga",White,Unknown,Straight,1994.0,Best Actress,The Piano,36.0
Tim Robbins,1958.0,1958-10-16,"West Covina, Ca",White,Roman Catholic,Straight,2004.0,Best Supporting Actor,Mystic River,46.0
Emma Thompson,1959.0,1959-04-15,"London, England",White,Unknown,Straight,1993.0,Best Actress,Howards End,34.0
Marcia Gay Harden,1959.0,1959-08-14,"La Jolla, Ca",White,Unknown,Straight,2001.0,Best Supporting Actress,Pollock,42.0
Kevin Spacey,1959.0,1959-07-26,"South Orange, Nj",White,Unknown,Matter of Dispute,2000.0,Best Actor,American Beauty,41.0
Kevin Spacey,1959.0,1959-07-26,"South Orange, Nj",White,Unknown,Matter of Dispute,1996.0,Best Supporting Actor,The Usual Suspects,37.0
Colin Firth,1960.0,1960-09-10,"Grayshott, Hampshire, England",White,Unknown,Straight,2011.0,Best Actor,The King's Speech,51.0
Timothy Hutton,1960.0,1960-08-16,"Malibu, Ca",White,Unknown,Straight,1981.0,Best Supporting Actor,Oridnary People,21.0
Melissa Leo,1960.0,1960-09-14,New York City,White,Unknown,Straight,2011.0,Best Supporting Actress,The Fighter,51.0
Tilda Swinton,1960.0,1960-11-05,"London, England",White,Unknown,Straight,2007.0,Best Supporting Actress,Michael Clayton,47.0
Sean Penn,1960.0,1960-08-17,"Burbank, Ca",White,Roman Catholic,Straight,2003.0,Best Actor,Mystic River,43.0
Sean Penn,1960.0,1960-08-17,"Burbank, Ca",White,Roman Catholic,Straight,2009.0,Best Actor,Milk,49.0
Peter Jackson,1961.0,1961-10-31,"Wellington, New Zealand",White,Unknown,Straight,2004.0,Best Director,The Lord of the Rings: Return of the King,43.0
Forest Whitaker,1961.0,1961-07-15,"Longview, Tx",Black,Unknown,Straight,2007.0,Best Actor,The Last King of Scotland,46.0
George Clooney,1961.0,1961-05-06,"Lexington, Ky",White,Unknown,Straight,2006.0,Best Supporting Actor,Syriana,45.0
Jodie Foster,1962.0,1962-11-19,"Los Angeles, Ca",White,Atheist,Lesbian,1989.0,Best Actress,The Accused,27.0
Jodie Foster,1962.0,1962-11-19,"Los Angeles, Ca",White,Atheist,Lesbian,1992.0,Best Actress,The Silence of the Lambs,30.0
Helen Hunt,1963.0,1963-06-15,"Culver City, Ca",White,Unknown,Straight,1998.0,Best Actress,As Good As It Gets,35.0
Steven Soderbergh,1963.0,1963-01-14,"Atlanta, Ga",White,Atheist,Straight,2001.0,Best Director,Traffic,38.0
Tatum O'Neal,1963.0,1963-11-05,"Los Angeles, Ca",White,Unknown,Straight,1974.0,Best Supporting Actress,Paper Moon,11.0
Juliette Binoche,1964.0,1964-03-09,"Paris, France",White,Unknown,Straight,1997.0,Best Supporting Actress,The English Patient,33.0
Sandra Bullock,1964.0,1964-07-26,"Arlington, Va",White,Unknown,Straight,2010.0,Best Actress,The Blind Side,46.0
Marisa Tomei,1964.0,1964-12-04,"Brooklyn, Ny",White,Unknown,Straight,1993.0,Best Supporting Actress,My Cousin Vinny,29.0
Russell Crowe,1964.0,1964-04-07,"Wellington, New Zealand",White,Unknown,Straight,2001.0,Best Actor,Gladiator,37.0
Nicolas Cage,1964.0,1964-01-07,"Long Beach, Ca",White,Roman Catholic,Straight,1996.0,Best Actor,Leaving Las Vegas,32.0
Marlee Matlin,1965.0,1965-08-24,"Morton Grove, Il",White,Jewish,Straight,1987.0,Best Actress,Children of a Lesser God,22.0
Sam Mendes,1965.0,1965-08-01,"Reading, Berkshire, England",White,Unknown,Straight,2000.0,Best Director,American Beauty,35.0
Halle Berry,1966.0,1966-08-14,"Cleveland, Oh",Multiracial,Unknown,Straight,2002.0,Best Actress,Monster's Ball,36.0
Jamie Foxx,1967.0,1967-12-13,"Terrell, Tx",Black,Baptist,Straight,2005.0,Best Actor,Ray,38.0
Nicole Kidman,1967.0,1967-06-20,"Honolulu, Hi",White,Roman Catholic,Straight,2003.0,Best Actress,The Hours,36.0
Mira Sorvino,1967.0,1967-09-28,"Tenafly, Nj",White,Atheist,Straight,1996.0,Best Supporting Actress,Mighty Aphrodite,29.0
Philip Seymour Hoffman,1967.0,1967-07-23,"Fairport, Ny",White,Unknown,Straight,2006.0,Best Actor,Capote,39.0
Mo'Nique,1967.0,1967-12-11,"Woodlawn, Md",Black,Unknown,Straight,2010.0,Best Supporting Actress,Precious,43.0
Benicio Del Toro,1967.0,1967-02-19,"Santurce, Puerto Rico",Hispanic,Unknown,Straight,2001.0,Best Supporting Actor,Traffic,34.0
Julia Roberts,1967.0,1967-10-28,"Smyrna, Ga",White,Hindu,Straight,2001.0,Best Actress,Erin Brockovich,34.0
Michel Hazanavicius,1967.0,1967-03-29,"Paris, France",White,Jewish,Straight,2012.0,Best Director,The Artist,45.0
"Cuba Gooding, Jr.",1968.0,1968-01-02,"Bronx, Ny",Black,Unknown,Straight,1997.0,Best Supporting Actor,Jerry Maguire,29.0
Catherine Zeta-Jones,1969.0,1969-09-25,"Mumbles, Wales",White,Roman Catholic,Straight,2003.0,Best Supporting Actress,Chicago,34.0
Javier Bardem,1969.0,1969-03-01,"Las Palmas De Gran Canaria, Canary Islands",Hispanic,Unknown,Straight,2008.0,Best Supporting Actor,No Country for Old Men,39.0
Matthew McConaughey,1969.0,1969-11-04,"Uvalde, Tx",White,Unknown,Straight,2014.0,Best Actor,Dallas Buyers Club,45.0
RenÌ©e Zellweger,1969.0,1969-04-25,"Katy, Tx",White,Unknown,Straight,2004.0,Best Supporting Actress,Cold Mountain,35.0
Cate Blanchett,1969.0,1969-05-14,"Melbourne, Victoria, Australia",White,Unknown,Straight,2014.0,Best Actress,Blue Jasmine,45.0
Cate Blanchett,1969.0,1969-05-14,"Melbourne, Victoria, Australia",White,Unknown,Straight,2005.0,Best Supporting Actress,The Aviator,36.0
Jennifer Connelly,1970.0,1970-12-12,"Catskill Mountains, Ny",White,Jewish,Straight,2002.0,Best Supporting Actress,A Beautiful Mind,32.0
Rachel Weisz,1971.0,1971-03-07,"London, England",White,Jewish,Straight,2006.0,Best Supporting Actress,The Constant Gardener,35.0
Jared Leto,1971.0,1971-12-26,"Bossier City, La",White,Unknown,Straight,2014.0,Best Supporting Actor,Dallas Buyers Club,43.0
Tom Hooper,1972.0,,"London, England",White,Unknown,Unknown,2011.0,Best Director,The King's Speech,39.0
Octavia Spencer,1972.0,1972-05-25,"Montgomery, Al",Black,Unknown,Unknown,2012.0,Best Supporting Actress,The Help,40.0
Gwyneth Paltrow,1972.0,1972-09-27,"Los Angeles, Ca",White,Jewish,Straight,1999.0,Best Actress,Shakespeare in Love,27.0
Jean Dujardin,1972.0,1972-06-19,"Rueil-Malmaison, Hauts-De-Seine, France",White,Unknown,Straight,2012.0,Best Actor,The Artist,40.0
Adrien Brody,1973.0,1973-04-14,New York City,White,Jewish,Straight,2003.0,Best Actor,The Pianist,30.0
Penelope Cruz,1974.0,1974-04-28,"Madrid, Spain",Hispanic,Buddhist,Straight,2009.0,Best Supporting Actress,Vicky Cristina Barcelona,35.0
Christian Bale,1974.0,1974-01-30,"Haverfordwest, Pembrokeshire, Wales",White,Unknown,Straight,2011.0,Best Supporting Actor,The Fighter,37.0
Hilary Swank,1974.0,1974-07-30,"Lincoln, Ne",White,Unknown,Straight,2005.0,Best Actress,Million Dollar Baby,31.0
Hilary Swank,1974.0,1974-07-30,"Lincoln, Ne",White,Unknown,Straight,2000.0,Best Actress,Boys Don't Cry,26.0
